Title,Description,Price
Croisière touristique en ville,"Une croisière d'une heure sur la Seine, à bord d'un trimaran","€ 19,80"
Voyage aller-retour en petit train à Montmartre,Une visite à la découverte du quartier de Montmartre en petit train,€ 7
Croisière sur la Seine et dégustation de crêpes,Une croisière en bateau d'une heure et une dégustation de crêpes fines,"€ 19,90"
Croisière touristique sur la Seine,Une croisière d’une heure en bateau dans le centre de Paris,€ 16
Dîner-croisière composé de 3 plats à Paris,Un dîner-croisière pour admirer la ville depuis l'eau,€ 41
Croisière touristique sur la Seine,Un circuit pour découvrir les sites incontournables de Paris depuis l'eau,€ 20
Croisière d’une heure sur la Seine avec dîner,Croisière touristique et dîner composé de 3 plats,"€ 54,50"
Dîner-croisière sur la Seine,Découverte des sites touristiques de Paris lors d'un dîner-croisière sur la Seine,€ 109
Entrée prioritaire au Panthéon de Paris,"L’histoire, l’art et l’architecture réunis dans un monument historique","€ 11,50"
Billet coupe-file pour la tour Eiffel et croisière sur la Seine,Deux expériences parisiennes classiques avec un seul billet : tour Eiffel et croisière sur la Seine,€ 59
Visite nocturne en bus,Une visite guidée de 2 heures avec commentaire enregistré,€ 27
Une croisière touristique à Paris et un déjeuner,Une croisière avec un déjeuner gastronomique et un panorama sur les lieux d'intérêt parisiens,€ 69
Déjeuner gastronomique à bord du Bustronome Paris,Savourez un copieux déjeuner gastronomique tout en admirant les principaux lieux d’intérêt parisiens,€ 70
Entrée à l'Arc de Triomphe et croisière sur la Seine,Deux moyens de découvrir les lieux d'intérêt les plus célèbres de Paris,"€ 26,90"
Une croisière sur la Seine et un déjeuner gastronomique,"Une découverte des trésors de Paris, lors d’une visite touristique de 2 heures au fil du fleuve",€ 73
Déjeuner-croisière sur la Seine,"Croisière sur la Seine avec déjeuner composé de 3 plats, vue panoramique et musique live",€ 69
Une croisière au fil de la Seine et des canaux,"Un panorama sur les attractions prisées de la ville, depuis les flots","€ 22,36"
Croisière sur la Seine et visite à pied du quartier du Marais,Une croisière fluviale sur la Seine avec une visite à pied du quartier du Marais,"€ 22,99"
Entrée au château de Fontainebleau,Un billet qui vous permettra d’accéder à ce château du XIIe siècle devenu aujourd'hui un musée,€ 13
Visite privée sur le thème de l’histoire de la mode au cœur de Paris,Une activité de 3 heures sur le thème de la mode pour découvrir des boutiques haut de gamme et les légendaires maisons de coutures françaises,€ 99
Excursion de 2 heures en Citroën 2 CV,Une visite privée des principaux sites d’intérêt de Paris,€ 219
Une croisière au fil du canal Saint-Martin,"Une découverte de certains des trésors les plus secrets de Paris, au fil d’une voie navigable historique",€ 27
Visite guidée du Sacré-Cœur et de Montmartre,Une visite guidée d'une heure et demie des attractions mythiques du quartier,€ 15
Une croisière au fil de la Seine sur les Vedettes du Pont Neuf,Une croisière au fil de la Seine pour admirer des monuments parisiens célèbres,€ 15
Croisière touristique sur la Seine,Une croisière fluviale pour découvrir les lieux d’intérêt de Paris depuis l'eau,"€ 14,80"
Découverte du street art à vélo,Une balade à vélo le long de la Seine pour découvrir le street art du quartier ZAC Paris 13,€ 43
Visite à pied hors des sentiers battus,Une visite à pied privée et guidée pour vivre Paris comme un Parisien,"€ 284,56"
Visite à pied à Saint-Germain-des-Prés,Une visite guidée avec des dégustations culinaires,"€ 89,44"
Visite guidée de la ville dans une voiture française d'époque,Trois heures de route dans une voiture classique à la découverte des sites emblématiques de la capitale française,"€ 87,25"
Croisière sur la Seine et le canal Saint-Martin,Balade en bateau depuis le parc de la Villette,€ 22
Visite à pied sur mesure de 3 heures à Paris,"Un circuit guidé et personnalisé de 3 heures, pour découvrir Paris avec un(e) habitant(e)",£160
Visite autonome du musée Carnavalet avec audioguide,Visite avec un audioguide sur votre smartphone pour découvrir par vous-même le musée,€ 12
Visite gourmande de Montmartre,Une aventure culinaire dans l'un des quartiers les plus pittoresques de Paris,€ 85
Visite à pied consacrée à l'Art nouveau,Découverte des plus beaux exemples d'architecture Art nouveau dans les 8e et 9e arrondissements,"€ 76,22"
Visite guidée de Paris à vélo,Visite guidée de Paris à vélo le long des 2 rives de la Seine,€ 39
Excursion gastronomique au marché Président Wilson,Visite de 2h d'un marché en plein air avec dégustations,"€ 83,34"
Visite de l'abbaye du Mont-Saint-Michel,Une excursion d'une journée depuis Paris pour visiter l'abbaye historique du Mont-Saint-Michel,€ 129
"Une excursion privée d’une journée en Champagne, depuis Paris","Une excursion d’une journée en Champagne, en compagnie d’un(e) vigneron(ne) local(e)",€ 1 143
"Une activité gastronomique en petit groupe, agrémentée de dégustations","Une balade gastronomique à pied au marché d’Aligre, pour y découvrir les joyaux culinaires de la capitale",€ 90
Visite d'une journée du Mont-Saint-Michel,"Découverte de l'île classée au patrimoine mondial de l'UNESCO, de sa magnifique abbaye et de son superbe village",€ 150
Visite à pied de la pierre tombale du Père Lachaise,Une visite guidée de deux heures dans le cimetière atmosphérique,€ 21
Balade en vélo électrique,Découvrez les sites d'intérêt et les joyaux cachés de Paris d’une manière active,€ 49
Une visite nocturne à Paris en Segway,"Une visite guidée la nuit en Segway, pour découvrir le centre historique de Paris, une oasis de splendeur",€ 95
Visite guidée à pied du quartier du Louvre,Promenez-vous dans un quartier regorgeant de sites touristiques et de boutiques de luxe.,€ 88
Châteaux de la Loire avec dégustation de vins,"Une visite guidée d’une journée complète des châteaux de la Renaissance de Chenonceau, de Chambord et d’Amboise",€ 225
Visite privée des lieux d’intérêt de la ville avec dégustation de champagne,Une visite nocturne de 2 heures de la Ville Lumière en Citroën 2CV,"€ 264,88"
Visite guidée à pied de la ville,Possibilité de découvrir quelques-uns des principaux sites d’intérêt de Paris,€ 558
Visite privée des monuments néoclassiques de Paris,Une visite guidée de certains des plus beaux monuments à l’architecture néoclassique de la capitale,€ 250
Visite à pied sur le thème du chocolat à Paris,Une visite guidée pour découvrir quelques-unes des meilleures boutiques de chocolat de la ville,"€ 81,31"
